spain,day,month,year,hour,day_of_week,week_of_year,day_of_year,is_weekend,is_month_beginning,is_month_end,summer,spring,winter,fall,is_matchday,quarter,day_or_night,season_category,is_bad_weather,is_good_weather,is_holiday,days_to_next_holiday,days_since_last_holiday,lag_1,lag_3,lag_6,lag_12,lag_24,lag_48,lag_96,lag_192,lag_384,moving_avg_1,moving_avg_3,moving_avg_6,moving_avg_12,moving_avg_24,moving_avg_48,moving_avg_96,moving_avg_192,moving_avg_384,exp_moving_avg_1,exp_moving_avg_3,exp_moving_avg_6,exp_moving_avg_12,exp_moving_avg_24,exp_moving_avg_48,exp_moving_avg_96,exp_moving_avg_192,exp_moving_avg_384,rolling_std_3,rolling_std_6,rolling_std_12,rolling_std_24,rolling_std_48,rolling_std_96,rolling_std_192,rolling_std_384,lag_diff_1,lag_diff_3,lag_diff_6,lag_diff_12,lag_diff_24,lag_diff_48,lag_diff_96,lag_diff_192,lag_diff_384,cumulative_sum,cumulative_mean
68.9,14,12,2022,7,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,4.11,4.11,4.11,142.0,96.2,134.0,110.0,131.3,98.91,68.9,25.70666666666665,14.52333333333334,46.781666666666666,93.50083333333333,90.62729166666666,113.7090625,125.08953125000001,137.09208333333333,68.9,36.81998145921406,30.051246110625534,44.68121238234246,66.79375555095126,86.11288973601599,103.98567930608806,119.54719548952495,126.96448396098839,37.40652394079325,26.655037547650206,56.52203702713679,61.75881172239577,56.87126473082263,50.19020909087269,40.66244938307919,42.05037048337832,64.79,64.79,64.79,-73.1,-27.299999999999997,-65.1,-41.099999999999994,-62.400000000000006,-30.00999999999999,159458.94999999958,119.98416102332581
81.2,14,12,2022,8,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,68.9,4.11,4.11,146.08,131.01,147.34,114.7,132.0,120.0,81.2,51.403333333333315,27.371666666666673,41.37499999999999,91.42541666666666,89.24937499999999,113.36010416666666,124.82494791666666,136.9910416666667,81.2,59.00999072960703,44.66517579330395,50.299487400443624,67.94625510687516,85.91236362434186,103.51587148534396,119.14981522538478,126.72674638197027,41.416386048678646,37.146513923471296,48.72541384683673,61.278574664088985,56.26597597831686,50.299585694532915,40.78234529738801,42.13807207232128,12.299999999999997,77.09,77.09,-64.88000000000001,-49.80999999999999,-66.14,-33.5,-50.8,-38.8,159540.1499999996,119.955
90.0,14,12,2022,9,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,81.2,4.11,1.8,134.45,139.92,148.92,118.47,142.11,98.91,90.0,80.03333333333332,42.07166666666667,37.67083333333333,89.34541666666667,88.02187499999998,113.06354166666667,124.55354166666666,136.96783854166668,90.0,74.50499536480352,57.617982709502826,56.40725856960614,69.71055469832514,86.07920592538913,103.23719372275954,118.84774460128753,126.53595808907691,10.59827029912113,42.121670155237815,42.26820241749247,60.40189278485207,55.574959563207095,50.353041072206274,40.84006613670709,42.161542550654126,8.799999999999997,85.89,88.2,-44.44999999999999,-49.91999999999999,-58.91999999999999,-28.47,-52.110000000000014,-8.909999999999997,159630.1499999996,119.932494365139
85.1,14,12,2022,10,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,90.0,68.9,4.11,99.0,139.5,135.0,116.3,148.82,90.0,85.1,85.43333333333332,55.570000000000014,36.512499999999996,87.07875,86.98229166666665,112.73854166666666,124.22166666666668,136.955078125,85.1,79.80249768240176,65.46998764964488,60.82152648197443,70.94171032245913,86.03923833659773,102.86323096558924,118.49802704065243,126.32070635874405,4.409459528473159,40.46799920925162,40.59194795321382,59.45117604515646,55.14252250535444,50.43255796719048,40.90069542456353,42.176533574110586,-4.900000000000006,16.19999999999999,80.99,-13.900000000000006,-54.400000000000006,-49.900000000000006,-31.200000000000003,-63.72,-4.900000000000006,159715.2499999996,119.90634384384384
87.0,14,12,2022,11,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,85.1,81.2,4.11,85.6,135.05,119.62,116.3,148.32,87.85,87.0,87.36666666666663,69.385,36.62916666666667,85.07666666666667,86.30270833333333,112.43333333333334,123.90229166666667,136.95286458333334,87.0,83.40124884120088,71.62141974974634,64.84898394628605,72.22637349666239,86.07845309836925,102.53615403846368,118.17162261536069,126.11644294908824,2.470492528474069,32.811225975266375,40.74757136284017,58.567960870937966,54.93233910678556,50.499392568867144,40.950916475285275,42.17913969861511,1.9000000000000057,5.799999999999997,82.89,1.4000000000000057,-48.05000000000001,-32.620000000000005,-29.299999999999997,-61.31999999999999,-0.8499999999999943,159802.2499999996,119.88165791447862
87.0,14,12,2022,12,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,87.0,90.0,4.11,5.0,140.0,115.0,114.7,150.01,79.23,87.0,86.36666666666663,83.2,43.4625,82.86833333333334,85.719375,112.14479166666666,123.57411458333333,136.97309895833334,87.0,85.20062442060043,76.01529982124738,68.25683256993435,73.40826361692939,86.11606725761949,102.21582096550566,117.84860061934658,125.91324064805401,1.0969655114197507,7.579182013911508,41.82267069534133,57.39444903220307,54.76954167551267,50.56539755039822,40.99305280495125,42.153232088285584,0.0,-3.0,82.89,82.0,-53.0,-28.0,-27.700000000000003,-63.00999999999999,7.769999999999996,159889.2499999996,119.85700899550226
87.7,14,12,2022,13,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,87.0,85.1,68.9,4.11,142.0,96.99,114.33,154.27,65.88,87.7,87.2333333333333,86.33333333333333,50.428333333333335,80.60583333333334,85.52583333333332,111.86739583333332,123.22739583333333,137.02992187499999,87.7,86.45031221030021,79.35378558660528,71.24808909763675,74.55160252757504,86.18071757363502,101.91652568786635,117.53617988753987,125.71473030702516,0.4041451883246455,2.9689504318306748,41.6332000022133,56.01582120581943,54.745275627638165,50.62629142721436,41.013587066639985,42.07177583518419,0.7000000000000028,2.6000000000000085,18.799999999999997,83.59,-54.3,-9.289999999999992,-26.629999999999995,-66.57000000000001,21.820000000000007,159976.9499999996,119.83292134831461
90.15,14,12,2022,14,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,87.7,87.0,81.2,4.11,140.13,95.6,113.0,153.38,65.88,90.15,88.28333333333332,87.825,57.59833333333333,78.52333333333333,85.41229166666666,111.629375,122.89807291666666,137.09312500000001,90.15,88.30015610515011,82.43841827614663,74.15607539030802,75.79947432536905,86.34272910124174,101.67391691079695,117.25238527730629,125.52997846127438,1.654035469162588,1.9462142739178052,40.319263123077135,54.61829703510083,54.729586663327055,50.67460229246987,41.02406058069682,41.9827462711141,2.450000000000003,3.1500000000000057,8.950000000000003,86.04,-49.97999999999999,-5.449999999999989,-22.849999999999994,-63.22999999999999,24.27000000000001,160067.0999999996,119.81070359281438
100.0,14,12,2022,15,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,90.15,87.0,90.0,1.8,147.0,94.9,112.8,148.21,80.14,100.0,92.61666666666666,89.49166666666667,65.78166666666667,76.565,85.51854166666668,111.49604166666667,122.64697916666665,137.14484374999998,100.0,94.15007805257505,87.45601305439045,78.13206379179908,77.73551637933953,86.90016872976248,101.63940316005886,117.07360408272281,125.39735519654049,6.510440333284372,5.399482999942553,37.85488651856429,52.87096441583869,54.753342965640876,50.6883273696724,41.015861460541636,41.924594792788206,9.849999999999994,13.0,10.0,98.2,-47.0,5.099999999999994,-12.799999999999997,-48.21000000000001,19.86,160167.0999999996,119.79588631264025
113.6,14,12,2022,16,2,50,348,0,0,0,0,0,1,0,0,4,1,0,0,1,0,12,5,100.0,87.7,85.1,4.11,146.08,100.0,113.3,154.27,91.4,113.6,101.24999999999999,94.24166666666667,74.90583333333333,75.21166666666666,85.801875,111.49916666666667,122.43515624999999,137.20265625,113.6,103.87503902628752,94.9257236102789,83.58866936229154,80.60467506899236,87.98995776120076,101.88601340418136,117.03760818549252,125.33607023448054,11.774867302859018,10.698804450342577,34.70277732095694,51.409732597992694,54.8649492673754,50.68844900424685,40.95666767695566,41.87662866605961,13.599999999999994,25.89999999999999,28.5,109.49,-32.48000000000002,13.599999999999994,0.29999999999999716,-40.670000000000016,22.19999999999999,160280.6999999996,119.79125560538118
